# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.750612941847416,5.072889124690569,-176.8190698672571,0,3.0,0.05186450501906684,0.0,0.0,0.0003216880212184893
 0.12121901290739302,14.72860582715735,5.071666083392071,-176.8190698672571,0.36365703872217914,3.0000000000000004,0.05186450501906684,0.000038994704396237776,1.3053681774362362,0.002333664992072674
 0.1713452974727527,14.706643384850036,5.070420364003736,-176.7536366105324,0.5140358924182582,3.0000000000000004,0.05165806538970147,0.00015597265986909048,1.6936078982603258,0.005075819384044752
 0.20975145805975004,14.684725347046257,5.069152199157507,-176.68859163362038,0.6292543741792502,3.000000000000001,0.051446394473593435,0.00035091539424330715,1.9997270135692014,0.008440251793198381
 0.24208185959799391,14.66285144586681,5.06786182148533,-176.62393965630483,0.7262455787939818,2.9999999999999973,0.051229469392933026,0.0006237921238012937,2.2591184697220577,0.012332656151796276
 0.27052404026252014,14.641021413432483,5.0665494636191495,-176.5596854006464,0.8115721207875605,3.000000000000001,0.05100726789618677,0.0009745597581441642,2.4867817492152873,0.016692439665181268
 0.2962005235956368,14.619234981864071,5.065215358190907,-176.4958335905096,0.8886015707869106,3.0000000000000044,0.05077976838098401,0.0014031629069962467,2.690842234065924,0.021476431062500814
 0.3197785091781526,14.597491883282363,5.06385973783255,-176.43238895110997,0.9593355275344579,3.0,0.05054694986479811,0.001909533888951785,2.839959289069976,0.02631494834093115
 0.34197345501821286,14.575791849808153,5.062482835176021,-176.36935620850107,1.0,1.8321501101456006,0.050308791791945626,0.0024935927421627356,2.8852286462180494,0.030487748531809824
 0.3636757625570081,14.55413461356223,5.061084882853263,-176.3067400891011,1.0,0.0,0.05006527442626295,0.003155247236965526,2.871249601014386,0.034122992450081845
 0.3853369827609805,14.532519906665385,5.059666113496222,-176.24454531923297,1.0,0.0,0.04981637855403645,0.0038943928904452358,2.8569621866537376,0.03776617009947062
 0.4069573930471973,14.510947461238413,5.058226759736843,-176.1827766245853,1.0,0.0,0.04956208555618104,0.004710912982934844,2.8423653424782342,0.04141662107463168
 0.4285372701670827,14.489417009402102,5.056767054207069,-176.1214387297648,1.0,0.0,0.04930237748486121,0.005604678576446252,2.8274580458862597,0.045073680813756206
 0.4500768902082494,14.467928283277244,5.055287229538844,-176.06053635777408,1.0,0.0,0.049037237201602975,0.006575548535031387,2.8122393105249484,0.04873668073475208
 0.47157652859643795,14.446481014984633,5.053787518364113,-176.00007422953675,1.0,0.0,0.0487666478925239,0.007623369547069151,2.79670818908796,0.05240494837305645
 0.49303646009756313,14.425074936645059,5.052268153314819,-175.94005706337026,1.0,0.0,0.048490593711939235,0.008747976149474944,2.780863770869879,0.05607780752107264
 0.514456958819864,14.403709780379309,5.050729367022908,-175.8804895745195,1.0,0.0,0.04820905941237302,0.009949190753829513,2.764705185423936,0.059754578369169566
 0.535838298216135,14.382385278308183,5.049171392120324,-175.82137647461929,1.0,0.0,0.04792203036441139,0.011226823674421805,2.7482316013092456,0.06343457764808672
 0.5571807510861112,14.361101162552467,5.047594461239009,-175.76272247119257,1.0,0.0,0.04762949251751539,0.01258067315820294,2.7314422248585175,0.06711711877301275
 0.5784845895789081,14.339857165232953,5.0459988070109105,-175.70453226718178,1.0,0.0,0.04733143290505494,0.014010525416645072,2.714336305900868,0.07080151198896702
 0.599750085195594,14.318653018470433,5.04438466206797,-175.64681056036645,1.0,0.0,0.04702783889265778,0.015516154659501184,2.696913131622169,0.07448706451763892
 0.6209775087918674,14.297488454385698,5.042752259042133,-175.58956204291914,1.0,0.0,0.046718698742030516,0.01709732313046005,2.6791720320551224,0.07817308070564162
 0.6421671305808304,14.27636320509954,5.041101830565344,-175.53279140085232,1.0,0.0,0.046404001333093615,0.018753781144690677,2.6611123786522772,0.08185886217403188
 0.66331922013588,14.255277002732754,5.0394336092695475,-175.47650331350303,1.0,0.0,0.04608373637564359,0.020485267128270257,2.64273358444142,0.08554370796917916
 0.6844340463937095,14.234229579406124,5.037747827786686,-175.42070245302182,1.0,0.0,0.04575789418427543,0.022291507659489986,2.624035104309297,0.08922691471497651
 0.7055118776573941,14.213220667240448,5.036044718748705,-175.3653934838632,1.0,0.0,0.04542646609001006,0.024172217512031434,2.605016437405253,0.09290777676604006
 0.7265529815996216,14.192249998356512,5.034324514787549,-175.31058106223253,1.0,0.0,0.0450894439555144,0.02612709970000695,2.5856771250307933,0.09658558636241552
 0.7475576252659963,14.171317304875114,5.0325874485351605,-175.25626983558496,1.0,0.0,0.04474682039054975,0.028155845524857354,2.566016751727731,0.10025963378512134
 0.7685260750784825,14.15042231891704,5.0308337526234865,-175.20246444210835,1.0,0.0,0.044398588847952836,0.03025813462409891,2.5460349482862097,0.10392920751308377
 0.7894585968389285,14.129564772603084,5.02906365968447,-175.14916951015053,1.0,0.0,0.04404474352019142,0.032433635021912446,2.5257313873945137,0.10759359438084448
 0.810355455732729,14.108744398054036,5.027277402350054,-175.09638965774448,1.0,0.0,0.043685279366802304,0.034682003181565765,2.505105788452165,0.11125207973762892
 0.8312169163325703,14.087960927390688,5.025475213252185,-175.04412949204024,1.0,0.0,0.043320192355926,0.03700288405966271,2.4841579155155458,0.11490394760707533
 0.8520432426023037,14.067214092733833,5.023657325022804,-174.99239360878616,1.0,0.0,0.04294947893636783,0.03939591116220801,2.462887577666658,0.11854848084812221
